epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,13135466496.0,77024.3046875,13188225024.0,77052.6875
1,0.0010000000474974513,13066290176.0,76838.703125,13164433408.0,76995.9296875
2,0.0010000000474974513,12884508672.0,76398.96875,13134403584.0,76925.40625
3,0.0010000000474974513,12524961792.0,75524.21875,13000432640.0,76594.671875
4,0.0010000000474974513,11936866304.0,74043.1640625,12415139840.0,75171.2890625
5,0.0010000000474974513,11094331392.0,71848.828125,11345718272.0,72402.78125
6,0.0010000000474974513,10007254016.0,68830.453125,9960465408.0,68625.75
7,0.0010000000474974513,8655738880.0,64587.5078125,8117790720.0,62898.42578125
8,0.0010000000474974513,7164018176.0,59454.8125,6104830464.0,55121.8046875
9,0.0010000000474974513,5627985408.0,53205.8203125,4454454784.0,47373.296875
10,0.0010000000474974513,4178194688.0,46140.7890625,3054608640.0,39204.17578125
11,0.0010000000474974513,2930898688.0,38701.5078125,1914112640.0,31298.220703125
12,0.0010000000474974513,1946154496.0,31551.6796875,1235897216.0,25287.740234375
13,0.0010000000474974513,1245403776.0,25157.541015625,687086528.0,18409.71875
14,0.0010000000474974513,813314048.0,20193.53125,429913920.0,14006.30859375
15,0.0010000000474974513,563765120.0,16683.5,279551264.0,10830.9482421875
16,0.0010000000474974513,434798880.0,14612.5078125,243750944.0,10136.80078125
17,0.0010000000474974513,378679808.0,13465.65625,235974688.0,10269.837890625
18,0.0010000000474974513,351780000.0,12957.783203125,217983344.0,9821.5517578125
19,0.0010000000474974513,334376512.0,12606.166015625,215483744.0,9877.68359375
20,0.0010000000474974513,321099296.0,12292.7451171875,201854368.0,9379.630859375
21,0.0010000000474974513,313730432.0,12092.9462890625,194707424.0,9397.2685546875
22,0.0010000000474974513,303626592.0,11833.044921875,193222464.0,9242.2138671875
23,0.0010000000474974513,299006944.0,11686.26953125,175559904.0,8506.158203125
24,0.0010000000474974513,295796096.0,11594.0947265625,162563136.0,7767.98876953125
